time,parallelism,variable,value
17,2,storm-mc,12110.625
18,2,storm-mc,10588.0
19,2,storm-mc,10373.5
20,2,storm-mc,12580.75
21,2,storm-mc,10129.75
22,2,storm-mc,12396.625
23,2,storm-mc,10392.25
24,2,storm-mc,9909.625
25,2,storm-mc,11360.75
26,2,storm-mc,12326.625
27,2,storm-mc,8629.625
28,2,storm-mc,12815.75
29,2,storm-mc,12918.0
30,2,storm-mc,7983.25
31,2,storm-mc,12271.375
32,2,storm-mc,12777.5
33,2,storm-mc,10490.0
34,2,storm-mc,9577.25
35,2,storm-mc,12568.125
36,2,storm-mc,12476.375
37,2,storm-mc,7767.0
38,2,storm-mc,12634.625
39,2,storm-mc,13150.375
40,2,storm-mc,8842.125
41,2,storm-mc,10981.375
42,2,storm-mc,12850.625
43,2,storm-mc,11030.875
44,2,storm-mc,8851.75
45,2,storm-mc,12846.125
46,2,storm-mc,11540.625
47,2,storm-mc,9180.875
48,2,storm-mc,11092.625
49,2,storm-mc,13097.25
50,2,storm-mc,9941.125
51,2,storm-mc,9725.125
52,2,storm-mc,13716.75
53,2,storm-mc,9609.5
54,2,storm-mc,11517.375
55,2,storm-mc,11412.5
56,2,storm-mc,10496.125
57,2,storm-mc,12171.75
58,2,storm-mc,10111.75
59,2,storm-mc,11757.875
60,2,storm-mc,10937.25
61,2,storm-mc,11628.75
62,2,storm-mc,10858.25
63,2,storm-mc,10682.5
64,2,storm-mc,12167.875
65,2,storm-mc,10631.625
66,2,storm-mc,10106.25
67,2,storm-mc,12439.25
68,2,storm-mc,12580.375
69,2,storm-mc,7834.125
70,2,storm-mc,12807.625
71,2,storm-mc,13049.5
72,2,storm-mc,8535.75
73,2,storm-mc,11648.0
74,2,storm-mc,12877.25
1,3,storm,5735.0
2,3,storm,6615.583333333333
3,3,storm,5795.166666666667
4,3,storm,6642.0
5,3,storm,7027.916666666667
6,3,storm,6781.833333333333
7,3,storm,6480.75
8,3,storm,5382.083333333333
9,3,storm,5482.333333333333
10,3,storm,5948.25
11,3,storm,6848.916666666667
12,3,storm,7641.916666666667
13,3,storm,6652.083333333333
14,3,storm,5872.083333333333
15,3,storm,5063.916666666667
16,3,storm,7359.5
17,3,storm,5346.416666666667
18,3,storm,6494.333333333333
19,3,storm,7270.416666666667
20,3,storm,5825.25
21,3,storm,5290.583333333333
22,3,storm,7300.333333333333
23,3,storm,6954.416666666667
24,3,storm,6913.166666666667
25,3,storm,6616.666666666667
26,3,storm,5746.75
27,3,storm,5854.083333333333
28,3,storm,7163.0
29,3,storm,7569.25
30,3,storm,7134.083333333333
31,3,storm,6754.333333333333
32,3,storm,5624.083333333333
33,3,storm,6256.75
34,3,storm,7076.916666666667
35,3,storm,7878.5
36,3,storm,6633.75
37,3,storm,5465.583333333333
38,3,storm,5571.833333333333
39,3,storm,6696.416666666667
40,3,storm,7136.083333333333
41,3,storm,6874.083333333333
42,3,storm,6646.083333333333
43,3,storm,5988.75
44,3,storm,6061.0
45,3,storm,7479.5
46,3,storm,6477.583333333333
47,3,storm,6240.666666666667
48,3,storm,5104.583333333333
49,3,storm,4769.75
50,3,storm,5301.583333333333
51,3,storm,5320.916666666667
52,3,storm,5169.416666666667
53,3,storm,6035.166666666667
54,3,storm,5463.583333333333
55,3,storm,5601.916666666667
56,3,storm,6191.25
57,3,storm,6209.666666666667
58,3,storm,6361.583333333333
59,3,storm,6547.25
60,3,storm,7352.083333333333
61,3,storm,6486.416666666667
62,3,storm,6197.0
63,3,storm,5965.333333333333
64,3,storm,6257.25
65,3,storm,5928.0
66,3,storm,7070.25
67,3,storm,6791.416666666667
68,3,storm,5980.5
69,3,storm,5493.083333333333
70,3,storm,5325.583333333333
71,3,storm,5420.166666666667
72,3,storm,7100.166666666667
73,3,storm,6251.75
74,3,storm,5312.166666666667
1,3,storm-mc,9930.833333333334
2,3,storm-mc,8128.0
3,3,storm-mc,12577.0
4,3,storm-mc,10880.416666666666
5,3,storm-mc,9715.916666666666
6,3,storm-mc,8355.416666666666
7,3,storm-mc,10214.25
8,3,storm-mc,10652.0
9,3,storm-mc,9227.75
10,3,storm-mc,9007.583333333334
11,3,storm-mc,9395.833333333334
12,3,storm-mc,10533.0
13,3,storm-mc,9071.666666666666
14,3,storm-mc,9475.166666666666
15,3,storm-mc,8785.666666666666
16,3,storm-mc,10707.5
17,3,storm-mc,8708.416666666666
18,3,storm-mc,9122.333333333334
19,3,storm-mc,8740.75
20,3,storm-mc,9609.833333333334
21,3,storm-mc,6772.916666666667
22,3,storm-mc,9900.083333333334
23,3,storm-mc,9742.333333333334
24,3,storm-mc,9362.916666666666
25,3,storm-mc,9106.5
26,3,storm-mc,10102.083333333334
27,3,storm-mc,8362.0
28,3,storm-mc,8681.75
29,3,storm-mc,8978.416666666666
30,3,storm-mc,10012.666666666666
31,3,storm-mc,9226.833333333334
32,3,storm-mc,10689.083333333334
33,3,storm-mc,8713.416666666666
34,3,storm-mc,8783.5
35,3,storm-mc,10088.25
36,3,storm-mc,10175.25
37,3,storm-mc,10042.833333333334
38,3,storm-mc,10366.166666666666
39,3,storm-mc,8807.083333333334
40,3,storm-mc,8727.833333333334
41,3,storm-mc,10129.416666666666
42,3,storm-mc,10211.916666666666
43,3,storm-mc,10106.25
44,3,storm-mc,10526.0
45,3,storm-mc,8825.916666666666
46,3,storm-mc,8668.666666666666
47,3,storm-mc,10133.666666666666
48,3,storm-mc,9980.916666666666
49,3,storm-mc,9320.166666666666
50,3,storm-mc,8801.0
51,3,storm-mc,8731.083333333334
52,3,storm-mc,9941.666666666666
53,3,storm-mc,10307.5
54,3,storm-mc,8753.75
55,3,storm-mc,8644.0
56,3,storm-mc,9982.166666666666
57,3,storm-mc,10403.916666666666
58,3,storm-mc,9023.333333333334
59,3,storm-mc,8605.833333333334
60,3,storm-mc,9730.333333333334
61,3,storm-mc,10568.416666666666
62,3,storm-mc,8403.416666666666
63,3,storm-mc,9005.0
64,3,storm-mc,9508.0
65,3,storm-mc,10115.666666666666
66,3,storm-mc,5627.916666666667
67,3,storm-mc,9459.75
68,3,storm-mc,8227.833333333334
69,3,storm-mc,10276.416666666666
70,3,storm-mc,9475.666666666666
71,3,storm-mc,9456.5
72,3,storm-mc,8711.25
73,3,storm-mc,9959.916666666666
74,3,storm-mc,9866.416666666666
1,4,storm,4825.9375
2,4,storm,6343.8125
3,4,storm,4395.5
4,4,storm,4690.9375
5,4,storm,5573.5625
6,4,storm,4937.1875
7,4,storm,5923.0625
8,4,storm,5776.125
9,4,storm,5031.5
10,4,storm,4203.5625
11,4,storm,5199.625
12,4,storm,5632.8125
13,4,storm,5327.1875
14,4,storm,6530.8125
15,4,storm,5650.125
16,4,storm,4990.4375
17,4,storm,5126.5
18,4,storm,5279.875
19,4,storm,6427.25
20,4,storm,4361.875
21,4,storm,5845.5625
22,4,storm,5274.375
23,4,storm,5074.625
24,4,storm,4385.75
25,4,storm,4370.0625
26,4,storm,4496.3125
27,4,storm,4620.375
28,4,storm,4947.6875
29,4,storm,5960.75
30,4,storm,5146.0
31,4,storm,5009.5
32,4,storm,5196.8125
33,4,storm,4636.0
34,4,storm,5404.0
35,4,storm,4632.0
36,4,storm,4697.125
37,4,storm,4773.375
38,4,storm,5522.5
39,4,storm,5602.3125
40,4,storm,5213.0625
41,4,storm,5095.3125
42,4,storm,5379.125
43,4,storm,5831.5
44,4,storm,5879.6875
45,4,storm,5263.625
46,4,storm,5360.6875
47,4,storm,4458.25
48,4,storm,5370.0
49,4,storm,4678.375
50,4,storm,6274.375
51,4,storm,6435.5625
52,4,storm,5245.125
53,4,storm,6621.3125
54,4,storm,5043.6875
55,4,storm,6700.4375
56,4,storm,5851.3125
57,4,storm,5408.125
58,4,storm,4934.8125
59,4,storm,3978.1875
60,4,storm,5742.875
61,4,storm,5094.5
62,4,storm,4901.25
63,4,storm,5793.625
64,4,storm,5754.5
65,4,storm,4691.0625
66,4,storm,4994.25
67,4,storm,4318.8125
68,4,storm,5314.375
69,4,storm,4416.5625
70,4,storm,4741.25
71,4,storm,4455.6875
72,4,storm,5855.5625
73,4,storm,5171.6875
74,4,storm,4804.0
1,4,storm-mc,8414.6875
2,4,storm-mc,9102.125
3,4,storm-mc,11807.25
4,4,storm-mc,11146.8125
5,4,storm-mc,10293.3125
6,4,storm-mc,10336.1875
7,4,storm-mc,9276.875
8,4,storm-mc,9075.5625
9,4,storm-mc,9756.4375
10,4,storm-mc,8999.0625
11,4,storm-mc,9240.1875
12,4,storm-mc,10187.625
13,4,storm-mc,9297.125
14,4,storm-mc,10054.1875
15,4,storm-mc,9512.5625
16,4,storm-mc,10147.3125
17,4,storm-mc,8344.8125
18,4,storm-mc,9792.0
19,4,storm-mc,8826.5625
20,4,storm-mc,9940.875
21,4,storm-mc,8943.4375
22,4,storm-mc,9623.4375
23,4,storm-mc,8888.625
24,4,storm-mc,9678.1875
25,4,storm-mc,8531.4375
26,4,storm-mc,9496.5625
27,4,storm-mc,8725.5
28,4,storm-mc,9013.8125
29,4,storm-mc,8421.625
30,4,storm-mc,9642.0
31,4,storm-mc,9783.1875
32,4,storm-mc,8883.625
33,4,storm-mc,8590.125
34,4,storm-mc,9258.6875
35,4,storm-mc,9309.75
36,4,storm-mc,9265.25
37,4,storm-mc,9119.4375
38,4,storm-mc,9414.1875
39,4,storm-mc,9236.375
40,4,storm-mc,9642.625
41,4,storm-mc,8343.4375
42,4,storm-mc,8317.625
43,4,storm-mc,9544.3125
44,4,storm-mc,9469.625
45,4,storm-mc,8200.0
46,4,storm-mc,7222.9375
47,4,storm-mc,8797.625
48,4,storm-mc,9226.625
49,4,storm-mc,9090.5
50,4,storm-mc,8056.5625
51,4,storm-mc,9159.25
52,4,storm-mc,9503.5625
53,4,storm-mc,9340.0
54,4,storm-mc,8715.8125
55,4,storm-mc,9166.125
56,4,storm-mc,9308.5625
57,4,storm-mc,9373.0
58,4,storm-mc,8968.4375
59,4,storm-mc,8233.0
60,4,storm-mc,9302.25
61,4,storm-mc,10319.1875
62,4,storm-mc,9755.0
63,4,storm-mc,8440.0625
64,4,storm-mc,9387.4375
65,4,storm-mc,10345.6875
66,4,storm-mc,9225.9375
67,4,storm-mc,9516.9375
68,4,storm-mc,9015.5
69,4,storm-mc,8804.3125
70,4,storm-mc,9067.75
71,4,storm-mc,9493.5625
72,4,storm-mc,8753.8125
73,4,storm-mc,9757.9375
74,4,storm-mc,9089.8125
1,5,storm,3112.25
2,5,storm,5248.0
3,5,storm,4199.95
4,5,storm,3419.85
5,5,storm,4892.0
6,5,storm,5176.65
7,5,storm,4982.5
8,5,storm,5179.05
9,5,storm,4039.1
10,5,storm,3095.6
11,5,storm,4301.1
12,5,storm,3743.3
13,5,storm,4577.1
14,5,storm,5478.8
15,5,storm,5352.95
16,5,storm,4845.75
17,5,storm,5288.55
18,5,storm,4391.4
19,5,storm,4147.05
20,5,storm,3289.95
21,5,storm,3334.4
22,5,storm,3626.85
23,5,storm,4118.5
24,5,storm,4596.6
25,5,storm,5275.9
26,5,storm,4356.85
27,5,storm,5071.3
28,5,storm,4253.4
29,5,storm,3218.35
30,5,storm,3555.2
31,5,storm,4664.55
32,5,storm,4551.1
33,5,storm,3592.1
34,5,storm,3817.2
35,5,storm,3891.55
36,5,storm,3577.05
37,5,storm,3624.5
38,5,storm,3529.2
39,5,storm,3438.25
40,5,storm,3041.55
41,5,storm,3752.5
42,5,storm,3677.7
43,5,storm,3884.9
44,5,storm,4521.25
45,5,storm,4459.45
46,5,storm,4185.85
47,5,storm,4823.75
48,5,storm,4070.4
49,5,storm,3779.1
50,5,storm,3569.15
51,5,storm,4414.25
52,5,storm,3399.6
53,5,storm,4143.25
54,5,storm,3985.1
55,5,storm,4257.7
56,5,storm,3963.45
57,5,storm,3566.4
58,5,storm,3609.3
59,5,storm,3886.7
60,5,storm,3639.05
61,5,storm,4184.0
62,5,storm,4038.2
63,5,storm,4756.9
64,5,storm,3422.95
65,5,storm,3608.75
66,5,storm,3809.55
67,5,storm,4122.95
68,5,storm,4025.05
69,5,storm,3041.3
70,5,storm,4411.65
71,5,storm,4505.9
72,5,storm,3771.75
73,5,storm,3958.5
74,5,storm,3770.9
1,5,storm-mc,7389.6
2,5,storm-mc,8788.85
3,5,storm-mc,11608.8
4,5,storm-mc,9813.9
5,5,storm-mc,8573.7
6,5,storm-mc,9633.3
7,5,storm-mc,9075.0
8,5,storm-mc,9038.25
9,5,storm-mc,8325.25
10,5,storm-mc,9071.25
11,5,storm-mc,10117.5
12,5,storm-mc,8046.0
13,5,storm-mc,9502.7
14,5,storm-mc,10156.55
15,5,storm-mc,8074.55
16,5,storm-mc,8735.7
17,5,storm-mc,9667.25
18,5,storm-mc,8119.45
19,5,storm-mc,8401.9
20,5,storm-mc,9017.45
21,5,storm-mc,9708.9
22,5,storm-mc,8223.9
23,5,storm-mc,8619.75
24,5,storm-mc,8956.0
25,5,storm-mc,8481.4
26,5,storm-mc,8049.85
27,5,storm-mc,9255.75
28,5,storm-mc,8807.6
29,5,storm-mc,7708.9
30,5,storm-mc,7891.15
31,5,storm-mc,8464.1
32,5,storm-mc,8110.85
33,5,storm-mc,8825.25
34,5,storm-mc,7960.15
35,5,storm-mc,8817.75
36,5,storm-mc,8025.85
37,5,storm-mc,7697.25
38,5,storm-mc,7482.45
39,5,storm-mc,8296.95
40,5,storm-mc,7758.35
41,5,storm-mc,7643.7
42,5,storm-mc,7491.4
43,5,storm-mc,8320.1
44,5,storm-mc,6349.55
45,5,storm-mc,8979.35
46,5,storm-mc,7624.25
47,5,storm-mc,8390.6
48,5,storm-mc,8143.95
49,5,storm-mc,9114.4
50,5,storm-mc,8333.2
51,5,storm-mc,7912.4
52,5,storm-mc,8714.15
